[09.12.13, 06:16:16] Holzmano: Noii whatsapp nummere
[27.07.18, 08:47:06] Vera: so herzig die brieeef!!!
[27.07.18, 08:47:13] Vera: guet morn abig 😘😘
[27.07.18, 08:48:34] Holzmano: Was für Brief?????
[27.07.18, 08:48:44] Holzmano: Meinsch du poschtchartene?
[27.07.18, 08:48:56] Holzmano: Die sind denk für ois 😜
[27.07.18, 08:49:01] Vera: jaaa mein die ♥️
[27.07.18, 08:49:04] Vera: aaah was?
[27.07.18, 08:49:12] Vera: han denkt seged für ois
[27.07.18, 08:49:18] Holzmano: Hemmer ja au a ois addressiert 😂😂
[27.07.18, 08:49:26] Holzmano: Wievill sinds eppe?
[27.07.18, 08:54:41] Vera: oooh ke ahnig
[27.07.18, 08:54:49] Vera: chani nöd sege 🤙🏽
[27.07.18, 16:49:28] Holzmano: Bi mir isch etz ca 8i ... wenn hesch zit?
[27.07.18, 17:17:30] Vera: bi mir isch ca 17.15 :)
[27.07.18, 17:17:51] Vera: müsst aber id strandbadi füre wegm wlan
[27.07.18, 17:17:52] Vera: wenn chöntsch öppe
[27.07.18, 17:25:11] Holzmano: Etz denn...
[27.07.18, 17:25:47] Vera: machemer über whatsapp?
[27.07.18, 17:25:52] Holzmano: Nöchschte 60min
[27.07.18, 17:25:56] Holzmano: Ja klar
[27.07.18, 17:28:20] Vera: wart shnell
[27.07.18, 17:28:44] Holzmano: Ich ghör uf whatsapp eppe jedes 10te wort
[27.07.18, 17:30:05] Vera: ‎Verpasster Sprachanruf
[27.07.18, 17:30:17] Holzmano: Whatsapp gaat iwie nöd!
[27.07.18, 17:30:19] Vera: ‎Verpasster Sprachanruf
[27.07.18, 17:30:28] Holzmano: Münd facetime
[27.07.18, 17:30:26] Vera: muss
[27.07.18, 17:30:35] Vera: nei choschtet zvill
[27.07.18, 17:30:43] Vera: bin ez am umelaufe
[27.07.18, 17:30:45] Holzmano: Audio denk
[27.07.18, 17:30:55] Vera: isch egal
[27.07.18, 17:31:01] Vera: han sones scheiss abi
[27.07.18, 17:31:01] Vera: abo
[27.07.18, 17:31:05] Holzmano: Hä?
[27.07.18, 17:32:43] Holzmano: Mich hets useghaue
[27.07.18, 17:32:42] Vera: wart verbinde schnell mitm wlan
[27.07.18, 17:32:58] Holzmano: Probieremer nacher facetime?
‎[13.08.18, 19:16:57] Vera: ‎Bild weggelassen
[13.08.18, 19:17:20] Vera: isch das es guets produkt?
[13.08.18, 19:17:32] Vera: würs ebe eich gern wele chaufe
[13.08.18, 22:43:02] Holzmano: Wieso ned gopro?
[13.08.18, 22:47:45] Vera: wills z tür isch
[13.08.18, 22:48:08] Holzmano: K...hesch mal en vergliichpricht glese vo beidne produkt?
[13.08.18, 22:54:24] Vera: nonig
[13.08.18, 22:57:56] Holzmano: Mach das mal no
[13.08.18, 22:58:10] Vera: machi 👍🏼
[30.08.18, 08:27:45] Vera: heello ☺ willich ja morn am 31. august min 21 igste geburtstag han - ich min geburtstag aber scho gfiired han voreme monet - würi aber trotzdem no gern mit mine liebschte eis go zieh. ich weiss, s isch mega spontan und wenns der nöd gaht isch kei sach. treffpunkt wer so gege di 9ni ide creperie 😘 wür mich freue dich morn zgseh
[30.08.18, 12:51:32] Holzmano: Probieres iizrichte 😜
[11.09.18, 12:14:20] Vera: he wenn machemer hüt abug?
[11.09.18, 12:14:54] Holzmano: 19:00 glaub
[11.09.18, 16:44:46] Holzmano: Treffemer ois am bahnhof?
[11.09.18, 16:53:48] Vera: ja das isch doch super :)
[11.09.18, 18:26:31] Holzmano: Cool!!
[11.09.18, 18:29:27] Vera: oder chunsch in kafisatz ue?
[11.09.18, 18:49:51] Holzmano: Au guet...machmi gad uf de weg! Ca 19:05 det
[11.09.18, 22:14:50] Vera: isch super cool gsi 😊 machemer wieder emal!!
[11.09.18, 22:16:11] Holzmano: Meeega cool ischs gsi! Du bisch cool! Uf jede fall und bis bald!
[11.09.18, 22:18:19] Vera: du au mega! 😘 bis bald!!
‎[12.09.18, 20:38:01] Vera: ‎Video weggelassen
‎[12.09.18, 20:38:38] Vera: ‎GIF weggelassen
[15.09.18, 13:10:54] Vera: ‎Verpasster Sprachanruf
[15.09.18, 13:48:56] Holzmano: Was?
[15.09.18, 16:05:40] Vera: niente
[15.09.18, 16:05:43] Vera: 🌟
[15.09.18, 16:54:58] Holzmano: Srry ha workshop gha...
[18.09.18, 16:57:54] Vera: was machsch hüt nami?
[18.09.18, 16:58:19] Holzmano: vbg am abig...etz noz züri chli schaffe
[18.09.18, 16:58:38] Vera: hesch ziit füres käfi?
[18.09.18, 16:58:45] Vera: wo bisch z züri?
[18.09.18, 16:58:50] Holzmano: oerlike
[18.09.18, 16:59:04] Vera: hmm... blöde
[18.09.18, 16:59:47] Holzmano: gell...aber ich gang id vbg am abig...chum doch au
[18.09.18, 17:00:00] Vera: wo isch die?
[18.09.18, 17:00:08] Vera: und isch das e gschlossnigi gsellschaft?
[18.09.18, 17:00:16] Holzmano: vera...
[18.09.18, 17:00:20] Vera: und was macht mer denn det?
[18.09.18, 17:00:23] Vera: ich ha ke ahnig
[18.09.18, 17:00:29] Holzmano: du weisch doch was das isch...
[18.09.18, 17:02:09] Vera: nopps
[18.09.18, 17:08:36] Holzmano: https://www.vbg.ethz.ch/
[18.09.18, 17:09:06] Holzmano: abem 6i esse und abem 7ni igenden GD...du kennsch sicher es paar! Hett lüt us de ph, de uni und de eth
[18.09.18, 17:25:14] Vera: fasch au go essev
[18.09.18, 17:25:19] Vera: *gasch au go esse?
[18.09.18, 17:25:23] Vera: und wo isches genau?
[18.09.18, 17:25:39] Holzmano: fridenschile...ja gange au go esse
[18.09.18, 17:28:55] Vera: bin jetzt scho z winti
[18.09.18, 17:46:11] Vera: han nöd gwüsst dases z züri isch
[18.09.18, 17:47:24] Holzmano: Chunnsch snögschtmal ... isvh all wuche
[23.09.18, 10:00:39] Holzmano: Hey binid chile...bis gli! Ly
[23.09.18, 10:03:45] Holzmano: Ah ja und ich ha vrgässe dTüre abzschlüssse
[23.09.18, 11:57:56] Vera: okidoki
[23.09.18, 11:58:11] Vera: chunsch zrugg ad bürgli
[23.09.18, 12:00:16] Holzmano: Nei han barista kura
[23.09.18, 17:36:04] Vera: https://doodle.com/poll/gvbrybbixark2pqt
[23.09.18, 17:36:32] Vera: alle Dienstage bis 18.00, alle Mittwoch ab 13.30, alle Donnerstage den ganzen Tag...
[23.09.18, 17:37:46] Vera: lenz chömmer denn das mal no ahluege wegm speicherplatz vo mim kompi?
[23.09.18, 17:42:19] Holzmano: Ja chume ca uf di halbi sibni hei
[28.09.18, 18:46:59] Vera: ‎Verpasster Sprachanruf
‎[01.10.18, 18:49:53] Vera: ‎Bild weggelassen
‎[01.10.18, 18:49:59] Vera: ‎Bild weggelassen
[01.10.18, 19:09:45] Holzmano: Nei das gfallt mer wükli ned so...
[04.10.18, 10:56:29] Vera: wet au a das vbg lager?
[04.10.18, 11:37:16] Holzmano: wieso ? ...
[04.10.18, 11:40:58] Vera: wili gern wür
[04.10.18, 11:44:43] Holzmano: aso is wkend meinsch du?
[04.10.18, 11:45:27] Vera: japp
[04.10.18, 12:30:56] Holzmano: https://www.vbg.net/ueber-uns/agenda/anmelden-stu.html?eid=4287
[09.10.18, 11:17:49] Vera: Hei lenz
[09.10.18, 11:17:51] Vera: ich mach ja d jugendseen page
[09.10.18, 11:18:00] Holzmano: ja...
[09.10.18, 11:18:22] Vera: und bruche dadezue foti und en chline vorstelligstext vo jedem teammitglied vom p2b
[09.10.18, 11:18:24] Vera: chöntschmer das irgendwie organisiere
[09.10.18, 11:18:50] Holzmano: ok...chan das probiere zmache...triffe mich mitem simi igendwenn negscht wuche
[09.10.18, 11:19:15] Vera: oke :) aber chaschmer wenigstens mal churz sege wers alles isch
[09.10.18, 11:19:19] Vera: du und wer no?
[09.10.18, 11:19:42] Holzmano: das isch ebe au ned klar. will de EICHI  gaat uf endi jahr...wür de gar nüm ineneh
[09.10.18, 11:20:08] Vera: oke aber susch?
[09.10.18, 11:20:23] Vera: du
[09.10.18, 11:20:23] Vera: de simono
[09.10.18, 11:20:23] Vera: d lea?
[09.10.18, 11:26:07] Holzmano: ich und simon R
[11.10.18, 11:32:22] Vera: gasch morn zum lukas as geburtstagsfeschtli?
[11.10.18, 11:32:28] Holzmano: ja
[13.10.18, 17:11:49] Vera: hei wie du vlt scho weisch gits e neui homepage für d jugendseen
[13.10.18, 17:12:17] Vera: drum hanich no e bitt a dich; chöntsch echt so en churze knappe teggscht schriibe wo du dich gschwind duesch vorstelle und nacher une no en satz wo dis lebensmotto isch oder en spruch wo der ghulfe het oder irgendöpis inspirierends
[13.10.18, 20:04:02] Holzmano: Ja machich! Bis wenn?
[13.10.18, 20:30:30] Vera: egaal 😬😬
[18.10.18, 13:31:24] Vera: wie machich das scho wieder
[18.10.18, 13:31:38] Holzmano: Was?
[18.10.18, 13:31:46] Vera: zumd fotis uf de externe harddisk abzspeichere
[18.10.18, 13:35:12] Vera: hm?
[18.10.18, 14:55:00] Holzmano: Bisch im hecht?
[18.10.18, 15:01:17] Vera: noops :)
[18.10.18, 15:01:52] Holzmano: Mus ders ebe mal zeige
[19.10.18, 17:01:51] Holzmano: https://www.sunnyskyz.com/happy-videos/7168/Farm-Girls-Rock-Out-To-039-Don-039-t-Stop-Believin-039-While-Cleaning-Stalls
[19.10.18, 19:21:50] Vera: he ich chume hüt bi eu go schlaafe ok? 😘
[19.10.18, 19:33:47] Holzmano: Voll easy
[20.10.18, 01:18:33] Holzmano: Hey du pennsch bim flox
[20.10.18, 01:19:26] Vera: joops
[20.10.18, 01:21:58] Holzmano: Wenn chunnsch du?
[20.10.18, 01:50:36] Vera: fahr ez denn hei vom stadi
[20.10.18, 02:18:13] Vera: han de falsch gno
[20.10.18, 02:18:26] Vera: mus 1h in schwerzebach warte
[26.10.18, 17:09:14] Vera: he ich chume hüt abig z spaat ah
[26.10.18, 17:09:18] Vera: macht das öpis?
[26.10.18, 17:18:41] Holzmano: Ach wass...dochgliich!
[29.10.18, 16:13:43] Vera: hei lenz
[29.10.18, 16:13:59] Holzmano: Ja?
[29.10.18, 16:14:06] Vera: dusch mer bitte folgendi infos wiiterleite:
[29.10.18, 16:14:07] Vera: -wer isch alles im p2b team
[29.10.18, 16:14:45] Vera: -gib mer no d näme, d position (bsp.student oder vikar...) und en chline text zude person
‎[29.10.18, 16:15:15] Vera: ‎Bild weggelassen
[29.10.18, 16:15:37] Holzmano: Weiss das schuldich dir no! Problem isch dases defakto nur mich git!
[29.10.18, 16:15:44] Holzmano: Im moment
[29.10.18, 16:15:54] Vera: oke denn langed das au
[29.10.18, 16:15:55] Vera: aber bitte gib mer no de text
[29.10.18, 16:16:22] Holzmano: Chasch ned du iwas mache...igenden scheiss
[29.10.18, 16:17:56] Vera: NÖÖ
[29.10.18, 16:17:56] Vera: machs bitte :)
[12.11.18, 18:03:39] Vera: chunsch ufes teeli id stadt 😘
[12.11.18, 18:04:29] Holzmano: Das wer meeega cool gsi! Aber ich han suber uf di 7i in zh abgmacht - ned mal mit de dede 😬
[12.11.18, 18:06:11] Vera: oki schaad 🙉
[12.11.18, 18:12:50] Holzmano: Ja sorry
‎[18.11.18, 15:19:20] Vera: ‎Bild weggelassen
[18.11.18, 17:40:52] Holzmano: 😍
[19.11.18, 15:42:29] Holzmano: hey nici page! 2 Sache womer no uufgfalle sind!
1. Wemer uf Snowcamp druckt (gseht geil uus die aamelde page btw), denn gits kein return button meh...sprich mer mues dSiite wider uufrüefe..
2. Chasch fürs p2bFondueSpecial au grad no e amelde page mache? wer hammer lieb!
Lov you danke
[19.11.18, 15:43:09] Vera: 1. hani versuecht
[19.11.18, 15:43:14] Vera: aber ischmer z uufwendig
[19.11.18, 15:43:18] Vera: 2. ja machi
[19.11.18, 15:43:33] Holzmano: 1. was? warum isch das kompliziert?
2. danke!
[19.11.18, 15:44:46] Vera: jaa
[19.11.18, 15:47:05] Holzmano: 1. chasch ned eifach en button iifüege won link uufrüeft?
2. han gad gseh unedraa bim 5er team hets au nomal es snowcamp logo, das chöntme au no verlinke
‎[19.11.18, 15:48:05] Holzmano: ‎Bild weggelassen
[19.11.18, 15:53:05] Vera: 🤙🏽🤙🏽😎
[19.11.18, 15:53:20] Vera: oki 🎉
[25.11.18, 21:09:25] Holzmano: Hei mir gönd scho go pfuuse, sind mega müed...
Ly!❤️
[25.11.18, 21:16:05] Vera: lyt ♥️♥️♥️
[25.11.18, 21:23:31] Holzmano: Felix und ich sind beid z gotzi am pfuuse:) vlt gsehmer oismorn no!
[25.11.18, 21:24:00] Vera: guuud 😘😘
[25.11.18, 21:34:10] Holzmano: Vergiss am felix sini jagge unds handy nöd
[01.12.18, 17:30:05] Holzmano: Wenn fangt dWorshipnight aa?
[01.12.18, 17:46:04] Vera: 19/30
[01.12.18, 17:46:23] Holzmano: Thx
‎[10.12.18, 07:04:37] Vera: ‎Bild weggelassen
‎[10.12.18, 07:04:38] Vera: ‎Bild weggelassen
‎[10.12.18, 07:04:39] Vera: ‎Bild weggelassen
‎[10.12.18, 07:04:40] Vera: ‎Bild weggelassen
‎[10.12.18, 07:04:40] Vera: ‎Bild weggelassen
‎[10.12.18, 07:04:40] Vera: ‎Bild weggelassen
‎[10.12.18, 07:04:40] Vera: ‎Bild weggelassen
‎[10.12.18, 07:04:41] Vera: ‎Bild weggelassen
‎[10.12.18, 07:04:41] Vera: ‎Bild weggelassen
‎[10.12.18, 07:04:42] Vera: ‎Bild weggelassen
‎[10.12.18, 07:04:42] Vera: ‎Bild weggelassen
‎[10.12.18, 07:04:43] Vera: ‎Bild weggelassen
‎[10.12.18, 07:04:43] Vera: ‎Bild weggelassen
‎[10.12.18, 07:04:44] Vera: ‎Bild weggelassen
‎[10.12.18, 07:04:44] Vera: ‎Bild weggelassen
‎[10.12.18, 07:04:45] Vera: ‎Bild weggelassen
‎[10.12.18, 07:04:45] Vera: ‎Bild weggelassen
‎[10.12.18, 07:04:46] Vera: ‎Bild weggelassen
‎[10.12.18, 07:04:46] Vera: ‎Bild weggelassen
‎[10.12.18, 07:04:47] Vera: ‎Bild weggelassen
[18.12.18, 22:51:01] Vera: ha de bus verpasst...
hani z vill abgläschteret?
[19.12.18, 23:26:10] Holzmano: Hey dDwött
Ich schlafe bi mama und papa. Chasch mir aalüte wennd es problem hesch - si hend keis tel
[19.12.18, 23:36:40] Vera: so herzig danke 😊
[21.12.18, 17:05:47] Holzmano: hey mir hend es gschenk für mama und papa a dini addresse gschickt! Fallses Couvert vom HEKS chunnt ned uuftue sondern schnell schriibe! Thx
[21.12.18, 17:58:54] Vera: japps
[01.01.19, 14:59:52] Holzmano: Papa frögt eb du guet heichemsch?!
‎[03.01.19, 23:49:52] Holzmano: ‎Audio weggelassen
[08.01.19, 18:10:58] Holzmano: Salii
Hesh guet?
De Tömu seit sellsch de doodle uusfüle?
[08.01.19, 20:00:37] Vera: ja ganz sachte :)
[08.01.19, 20:00:45] Vera: ja gaht mer guet & dir?
[08.01.19, 20:00:51] Vera: han d agenda nöd da
[14.01.19, 23:42:18] Holzmano: Hey du
Tuen für de Felix und dOli bette - die zwei bruched chli Hilf!
[14.01.19, 23:42:52] Vera: ja machi
[14.01.19, 23:43:00] Vera: danke fürs sege
[14.01.19, 23:55:15] Vera: aber lenz
[14.01.19, 23:56:10] Vera: ich weiss nöd obs würkli söt si zwüsched ine zwei wenn de felix nach 1 1/4 jahr immer no keis ,ja’ zu ihre het
[14.01.19, 23:57:27] Holzmano: De Felix funktionniert ned so Vera
[14.01.19, 23:57:48] Holzmano: Mir beidi nöd - und du glaub au nöd 😜
[15.01.19, 00:00:58] Vera: ich gsehn das chli andersch
[15.01.19, 00:02:11] Vera: de felix isch nöd so richtig voll debi... s git gwüssi sache ade oli wonem chli z schaffe mached
[15.01.19, 00:02:40] Holzmano: Das gaat der mit jedere person immer eso!
[15.01.19, 00:02:52] Vera: nä..
[15.01.19, 00:03:07] Holzmano: Doch...
[15.01.19, 00:03:11] Vera: klar gits niemert wo 100% zu dir passt
[15.01.19, 00:03:31] Vera: aber du sötsch scho igendwie e tüfi entschlosseheit & begeisterig für die person ha
[15.01.19, 00:03:50] Holzmano: Mengisch isch die daa, mengisch ned...das variert!
[15.01.19, 00:04:01] Holzmano: Chum mir bespräched das es andermal...
[15.01.19, 00:04:07] Holzmano: Denksch eifach a die zwei
[15.01.19, 00:04:18] Vera: s mami ich und de papa sind ez di letschte täg scho am bete für si und hend all nöd so es guets gfühl debi
[15.01.19, 00:04:30] Vera: ja das machemrt
[15.01.19, 00:04:32] Vera: machemer
[18.01.19, 14:17:40] Vera: lenz :)
[18.01.19, 14:17:50] Vera: ide chuchi bim herd isch e 20er note
[18.01.19, 14:17:52] Vera: die isch mir
[18.01.19, 14:17:55] Vera: chasch si go hole
[18.01.19, 14:22:59] Holzmano: hä? für was isch die?
[18.01.19, 14:23:20] Vera: d het d illari mir geh
[18.01.19, 14:23:25] Vera: di ghôrt mir
[18.01.19, 14:31:25] Holzmano: Ok hansi gnoh
